loan_status,loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age
0,8000,6.62,A,6,MORTGAGE,38400,23
0,5600,10.75,B,,RENT,20000,21
0,4000,15.23,C,16,RENT,56000,23
0,10000,5.79,A,2,RENT,51996,32
0,15000,8.49,A,3,MORTGAGE,56000,24
0,1500,6.99,A,13,RENT,71000,22
0,14000,15.62,D,6,MORTGAGE,66675,28
0,11200,12.99,C,1,RENT,63000,28
0,3850,13.35,C,5,MORTGAGE,60000,41
0,6000,6.03,A,,MORTGAGE,30000,28
0,5000,12.98,C,0,RENT,42500,22
0,24000,8.9,A,2,MORTGAGE,70000,23
0,35000,15.23,C,1,MORTGAGE,300000,31
0,14000,10.36,B,2,MORTGAGE,59000,28
0,6000,7.49,A,5,OWN,14400,24
0,1000,12.69,B,13,MORTGAGE,70000,25
0,1500,8.9,A,6,MORTGAGE,48000,36
0,7000,9.99,B,3,RENT,35350,22
0,18000,,B,14,MORTGAGE,123504,28
0,6000,5.42,A,11,MORTGAGE,98004,43
0,25000,,B,3,MORTGAGE,110000,27
0,10000,15.99,D,15,MORTGAGE,162500,26
0,2000,8.49,A,3,RENT,28800,22
0,6000,7.49,A,2,MORTGAGE,72000,24
0,4800,12.12,B,5,RENT,60000,46
0,10000,7.49,A,1,MORTGAGE,96000,23
0,4800,10.38,B,3,RENT,56928,23
0,4850,6.62,A,0,RENT,40000,24
0,25000,9.99,B,7,MORTGAGE,80000,31
0,5000,7.51,A,0,RENT,58000,33
0,15000,6.54,A,4,RENT,54996,32
0,7000,13.98,C,1,RENT,32400,24
0,7500,9.91,B,3,RENT,31200,22
0,5200,13.43,C,0,RENT,26000,38
0,25000,,B,9,MORTGAGE,145000,28
0,13000,10.99,B,27,MORTGAGE,34000,31
0,7200,7.9,A,5,RENT,34000,22
0,10625,12.42,B,23,MORTGAGE,57600,28
0,19600,9.91,B,8,RENT,45000,23
0,9800,16.29,D,4,RENT,67000,39
0,12000,5.79,A,3,MORTGAGE,185000,25
0,35000,11.99,B,14,OWN,100505,25
0,19000,7.49,A,5,RENT,62004,26
0,12000,7.49,A,1,RENT,72500,28
0,3600,11.12,B,8,RENT,38700,28
0,8000,15.33,D,3,RENT,45000,26
0,16700,10.37,B,4,RENT,54996,23
0,15000,7.51,A,6,MORTGAGE,45000,32
0,8000,12.42,B,14,RENT,40000,25
0,7000,11.49,B,2,RENT,72000,28
0,8400,7.51,A,8,MORTGAGE,27600,22
0,6000,7.51,A,4,RENT,63000,29
0,1500,6.91,A,2,RENT,16200,25
0,8000,10.74,B,6,RENT,30000,25
0,5000,7.51,A,2,MORTGAGE,80000,25
0,10000,,D,12,MORTGAGE,38400,26
0,5000,11.36,B,25,MORTGAGE,43200,30
0,10000,6.91,A,1,RENT,50000,26
0,9000,12.69,B,5,MORTGAGE,80000,28
0,7000,11.12,B,19,RENT,76000,22
0,14000,12.99,C,6,MORTGAGE,36000,23
0,3000,8.49,A,1,RENT,50000,23
0,2000,21.27,G,5,RENT,30000,24
0,20000,13.99,C,0,MORTGAGE,52000,22
0,14000,6.03,A,3,MORTGAGE,115000,33
0,25000,,B,6,MORTGAGE,83004,24
0,20000,,D,12,MORTGAGE,104000,28
0,24000,11.49,B,3,MORTGAGE,92000,29
0,4500,10.38,B,2,RENT,18000,21
0,1500,7.29,A,1,RENT,32000,25
0,2000,10.75,B,9,RENT,40000,27
0,16000,11.49,B,0,RENT,175000,35
0,7000,6.99,A,5,MORTGAGE,58000,24
0,1000,5.42,A,14,RENT,44000,37
0,15000,5.42,A,3,MORTGAGE,72000,27
0,33000,12.68,C,8,RENT,67746,24
0,12800,5.79,A,0,MORTGAGE,50000,22
0,11000,11.49,B,4,RENT,68000,28
0,7000,9.62,B,2,RENT,40000,31
0,10000,,A,8,MORTGAGE,105000,23
0,19000,,C,8,RENT,54000,25
0,5000,7.9,A,20,OWN,66000,22
0,15000,11.11,B,3,MORTGAGE,32000,25
0,8000,7.66,A,5,OWN,40000,35
0,3250,5.79,A,,OWN,71000,25
0,7000,5.79,A,5,RENT,41000,21
0,4875,10.74,B,3,RENT,64052,32
0,2600,19.29,E,0,RENT,21600,24
0,8000,7.9,A,0,RENT,72000,31
0,7800,,B,3,RENT,43000,44
0,6800,10.59,B,0,MORTGAGE,41600,22
0,8000,6.03,A,0,RENT,67200,27
0,5775,9.99,B,,MORTGAGE,83000,24
0,8000,9.99,B,5,RENT,73008,30
0,25000,15.58,D,7,RENT,90000,32
0,20000,12.68,C,7,RENT,62400,39
0,11200,13.99,C,4,RENT,54000,23
0,3000,12.68,C,2,RENT,21000,23
0,11200,10.99,B,13,MORTGAGE,132000,26
0,5000,7.29,A,30,RENT,60000,32
0,7750,6.76,A,2,MORTGAGE,57500,26
0,12000,7.29,A,9,MORTGAGE,60000,23
0,13000,10.99,B,10,RENT,55000,28
0,6500,16.45,E,13,OWN,60000,28
0,6000,8.9,A,0,RENT,34000,24
0,10000,13.43,C,15,MORTGAGE,62000,26
0,15000,15.33,D,6,MORTGAGE,135000,26
0,6400,13.23,C,4,RENT,50000,27
0,4600,6.39,A,3,MORTGAGE,120000,26
0,19600,13.98,C,18,RENT,900000,58
0,12000,10.37,B,7,MORTGAGE,98000,38
0,15000,15.65,D,,MORTGAGE,70000,27
0,10000,14.72,C,3,RENT,33600,27
0,15000,13.72,C,3,RENT,50004,26
0,3000,20.3,E,2,RENT,43000,22
0,2500,11.49,B,0,RENT,42000,23
0,12000,10.99,B,3,RENT,76000,30
0,20000,7.9,A,19,OWN,68000,27
0,7000,,A,15,RENT,43000,28
0,6000,7.9,A,2,RENT,27040,25
0,2400,13.61,C,,RENT,18000,22
0,1000,13.23,C,0,RENT,75000,23
0,9000,7.49,A,16,MORTGAGE,81600,23
0,6400,10.59,B,2,RENT,36000,30
0,10000,7.9,A,6,RENT,75000,28
0,6000,15.21,D,,MORTGAGE,36000,28
0,7200,7.51,A,19,MORTGAGE,47000,41
0,13000,,B,3,MORTGAGE,77500,32
0,25000,13.8,C,2,RENT,430000,36
0,6000,8.49,A,12,RENT,51600,27
0,7000,9.62,B,2,MORTGAGE,78000,27
0,3600,7.9,A,4,RENT,60000,23
0,25000,19.42,E,2,MORTGAGE,92000,29
0,2000,10.38,B,3,RENT,42000,38
